Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
34,Female,86.7,1.86,174,152,74,1.12,712,Strength,12.8,2.4,5,2,14.31
26,Female,84.7,1.83,166,156,73,1,833,Strength,27.9,2.8,5,2,33.49
22,Male,64.8,1.85,187,166,64,1.24,1678,Cardio,28.7,1.9,3,2,12.73
54,Female,75.3,1.82,187,169,58,1.45,628,Cardio,31.8,2.4,4,1,20.37
34,Female,52.8,1.74,177,169,66,1.6,1286,Strength,26.4,3.2,4,2,20.83
38,Female,53,1.58,161,128,74,1.62,953,HIIT,23.4,2.5,2,2,13.02
44,Female,46.5,1.81,191,142,74,1.46,1238,Cardio,11.9,3.7,2,2,18.12
50,Female,88.5,1.63,181,136,63,1.63,829,Strength,11.6,1.8,4,2,19.16
18,Female,82.9,1.54,174,169,64,0.77,802,HIIT,27.8,2.2,3,1,49.84
34,Female,65.9,1.74,195,169,73,2,1231,Yoga,30.5,3.2,5,2,12.32
39,Female,47,1.78,181,155,55,1.89,747,Yoga,31.7,2.3,3,3,28.39
46,Male,40,1.88,168,131,69,2,672,,25.4,2.4,2,2,12.32
19,Male,87.7,1.98,186,145,50,1.61,1705,Strength,14.1,2.3,3,2,15.99
56,Female,107.4,1.73,176,141,71,0.65,1564,HIIT,26,3,2,3,14.48
19,Female,71.7,1.91,197,148,74,1.15,464,Cardio,32.5,2.7,4,2,19.09
30,Female,90.6,1.6,161,125,52,1.03,1410,Yoga,16,3.5,4,2,13.91
23,Male,56.2,1.76,195,141,55,1.45,1195,HIIT,23.9,3.2,4,1,22.61
39,Female,71.3,1.77,171,124,74,0.69,871,Cardio,21.9,2.1,5,1,14.31
54,Female,47.7,1.56,181,128,74,1.5,853,Yoga,26.5,1.5,3,1,23.64
,Male,63,1.51,184,169,71,1.3,1136,Cardio,23.8,2.3,3,2,22.69
26,Male,129.9,1.71,196,136,74,1.27,931,Yoga,26.6,1.8,5,1,21.04
22,Female,102.4,1.5,173,156,55,1.44,453,HIIT,17.5,1.6,4,3,18.23
36,Female,64.2,1.78,192,130,74,1.38,1708,Yoga,31.9,2.1,,1,25.59
18,Male,129.4,1.5,177,145,71,,772,Strength,22,1.7,5,1,18.07
25,Male,57.2,1.82,184,140,74,1.15,888,Strength,26.9,2.6,4,2,15.23
59,Male,71.8,1.5,165,152,74,1.94,758,Yoga,28.9,3.3,3,1,16.87
18,Male,112.4,1.71,177,165,55,1.56,1044,HIIT,33.5,1.7,2,2,24.43
18,Male,40,1.72,188,155,74,1.51,1266,Cardio,26.4,2.5,2,,17.79
25,Female,64.3,1.65,183,169,67,1.28,1783,Cardio,20,3.2,2,3,20.59
32,Male,72.4,1.74,189,127,60,1.4,1090,Yoga,16.9,1.6,2,1,17.68
28,Male,62.4,1.56,193,141,55,2,861,Cardio,32.2,3.6,3,1,18.61
27,Female,78.6,1.65,198,127,66,1.61,938,Yoga,26.8,3.1,3,1,17.92
44,Female,45,1.53,199,158,50,0.7,930,Strength,21.9,3.6,4,1,27.74
20,Female,103.4,1.53,180,166,56,1.28,631,HIIT,23,3,4,1,19.18
51,Male,79.2,1.85,178,147,51,1.52,1355,Strength,23.2,2,4,1,18.95
52,Female,40,1.84,\t182,156,56,1.2,1258,Cardio,25,2,4,2,12.32
35,Male,75.7,1.61,192,147,52,0.92,1211,Strength,21.2,2.4,3,2,23.19
21,Male,76.8,1.75,166,125,74,1.56,1152,Strength,25.1,2.7,3,1,16.66
48,Female,112.6,1.69,160,162,63,0.89,1482,Cardio,22.6,2.5,4,2,12.32
18,Male,73.7,1.78,192,154,73,1.18,851,Strength,27.4,2.6,2,2,21.08
18,Female,84,1.71,194,148,52,0.92,621,Strength,28.3,3.4,3,3,17.99
28,Male,68,1.7,174,155,68,0.74,1464,Yoga,17,2.3,3,2,21.67
23,Male,107.6,1.5,,136,71,1.53,1062,Cardio,10,2.3,5,3,23.77
30,Female,54.3,1.82,185,168,66,1.4,1415,,25.4,3.6,3,1,26.4
18,Female,42.8,1.89,194,162,73,2,736,,22.5,1.5,3,2,18.54
37,,55.4,1.68,197,,52,1.04,338,Cardio,27.4,3.2,,3,17.71
49,Female,102.4,1.65,185,148,68,1.27,980,Cardio,34.8,2,5,,15.52
42,Female,95.5,1.95,168,125,72,1.91,632,HIIT,26.1,2,4,1,12.32
27,Female,58.7,1.98,199,145,52,2,1119,Cardio,23,2.7,2,3,18.99
35,Female,49.7,1.86,161,,62,1.12,867,Strength,15.2,1.8,4,3,12.32
24,Female,86.5,1.65,196,169,59,1.08,771,Cardio,27.3,2.1,3,1,12.9
44,Female,63.6,1.78,167,129,74,1.34,1165,Yoga,10.7,3.4,4,1,15.73
52,Male,58.7,1.58,169,131,53,1.14,900,HIIT,28.5,3.3,3,,19.62
49,Female,56.6,1.75,198,120,72,1.12,1767,Yoga,23.6,2.6,2,2,34.37
36,Female,40,1.71,178,169,69,1.3,1519,HIIT,27.5,2.7,4,1,39.74
23,Female,67.7,1.73,188,162,54,1.76,954,Yoga,18,3.2,3,1,16.07
56,Female,40,1.74,172,146,74,1.43,876,Yoga,26,3.4,2,1,19.63
48,,68,1.69,185,144,68,1.23,695,Yoga,14.2,2.6,2,1,28.93
24,Male,68.3,1.74,184,161,51,1.9,566,Cardio,27.5,3.5,4,,16.26
22,Female,99.1,1.72,182,169,62,1.14,1105,Yoga,31.4,3.6,4,1,16.91
20,Female,72.9,1.63,164,156,51,1.11,582,Strength,27.1,3.2,3,2,19.83
44,Female,40,1.68,175,156,74,1.04,1010,Cardio,28.1,1.8,3,3,12.32
33,Female,58.3,1.77,167,153,74,1.41,969,Strength,29.5,2.6,2,1,20.47
18,Male,40,1.64,177,134,53,0.98,468,\nStrength,25.6,2.1,3,3,18.78
59,Male,45.8,1.5,163,137,55,1.98,1306,\tCardio,24,2.9,4,2,26.25
